SC_CODE,SC_NAME,SC_GROUP,SC_TYPE,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,NO_TRADES,NO_OF_SHRS,NET_TURNOV,TDCLOINDI
532284,TCFC FINANCE,X ,Q,20.15,22.95,20.15,20.90,20.80,21.05,12,421,8521.00,
532285,GEOJITFSL   ,B ,Q,22.65,24.40,22.65,23.80,23.85,23.30,40,2928,70349.00,
532286,JINDAL STE  ,A ,Q,110.90,117.45,110.50,114.50,114.50,112.30,3861,1069330,122851148.00,
532290,BLB LTD.    ,T ,Q,3.89,4.00,3.89,4.00,4.00,4.09,8,1014,3944.00,
532296,GLENMARK PHA,A ,Q,410.40,421.00,410.40,415.15,414.65,412.40,892,23261,9688404.00,
532300,WOCKHARDT   ,A ,Q,281.50,290.00,278.60,282.40,282.40,282.95,860,39335,11170891.00,
532301,TATA COFFEE ,B ,Q,70.35,72.85,70.35,72.40,72.25,70.70,294,21351,1532485.00,
532305,IND-SWIFT LA,B ,Q,32.35,33.00,32.05,32.75,32.75,32.05,49,7243,237577.00,
532309,GEPIL       ,B ,Q,758.50,777.45,751.00,770.10,770.10,760.00,33,180,137472.00,
532310,SHREE RAMA  ,T ,Q,4.34,4.74,4.34,4.74,4.74,4.56,2,190,828.00,
532313,MAHINDRALIFE,A ,Q,368.60,375.00,368.50,374.55,374.65,368.50,45,411,152740.00,
532316,S KUMARS.COM,XT,Q,1.60,1.60,1.60,1.60,1.60,1.60,3,446,713.00,
532321,CADILA HEALT,A ,Q,227.90,227.90,222.30,226.50,226.30,223.65,772,39729,8961862.00,
532323,SHIVA CEMENT,X ,Q,8.71,9.45,8.71,9.31,9.31,9.03,209,116689,1078700.00,
532324,CINEVISTA   ,B ,Q,6.25,6.25,6.25,6.25,6.25,6.04,1,10,62.00,
532326,INTENS TECH ,B ,Q,23.55,25.00,23.55,24.70,24.70,24.50,10,2842,69425.00,
532329,DANLAW TECH.,X ,Q,69.95,78.45,60.15,73.30,75.00,65.80,18,507,35997.00,
532330,BIOPAC INDIA,XT,Q,3.80,3.99,3.80,3.80,3.80,3.80,6,474,1803.00,
532331,AJANTA PHARM,A ,Q,960.00,986.40,945.45,955.70,955.70,962.50,744,19859,19179645.00,
532332,CURATECH    ,T ,Q,2.07,2.07,2.07,2.07,2.07,1.98,2,21,43.00,
532333,HB PORTFOLIO,X ,Q,16.95,16.95,15.10,16.45,16.45,15.20,27,857,13842.00,
532334,HB ESTATE DE,X ,Q,10.41,10.51,10.41,10.50,10.50,10.75,10,775,8135.00,
532339,COMPUCOM SOF,B ,Q,8.25,8.74,7.90,8.21,8.21,7.64,51,11707,98464.00,
532341,IZMO        ,B ,Q,27.50,29.15,27.35,29.15,29.15,26.50,74,10683,307221.00,
532342,COMMEX TECH ,X ,Q,0.24,0.25,0.24,0.25,0.25,0.24,9,12058,3003.00,
532343,TVS MOTOR L ,A ,Q,371.00,387.60,371.00,379.40,379.40,375.80,1716,128242,48917929.00,
532345,GATI LTD.   ,B ,Q,37.55,44.95,36.85,44.95,44.95,40.90,2412,415993,17300328.00,
532348,SUBEX LTX   ,B ,Q,5.55,5.60,5.23,5.33,5.33,5.42,148,95984,517625.00,
532349,TRANSPORT CO,B ,Q,270.40,272.05,263.25,268.20,266.65,268.00,70,2030,543487.00,
532350,PADMALAYA TE,XT,Q,1.64,1.64,1.64,1.64,1.64,1.57,4,550,902.00,
532351,AKSH OPTIFIB,B ,Q,9.03,9.15,8.97,9.04,9.05,8.95,65,19583,178155.00,
532354,VIRGOGLOB   ,X ,Q,2.24,2.24,2.24,2.24,2.24,2.24,4,9087,20354.00,
532356,TRIVENI ENGG,B ,Q,50.10,52.05,49.95,51.85,52.00,50.25,244,29503,1508956.00,
532357,MUKTA ARTS  ,B ,Q,38.50,39.00,36.60,38.65,39.00,37.25,16,425,16033.00,
532359,HITKIT GLOB ,X ,Q,0.21,0.23,0.21,0.23,0.23,0.22,4,1710,363.00,
532362,NAGPUR POWER,X ,Q,34.65,34.65,31.55,31.55,31.55,33.20,3,102,3223.00,
532365,DYNACONS SYS,B ,Q,28.45,28.45,27.10,27.10,27.10,25.10,2,180,5107.00,
532366,PNB GILTS   ,B ,Q,38.00,39.40,37.70,38.05,38.35,37.70,283,74988,2878251.00,
532368,BCG         ,B ,Q,2.84,3.04,2.84,3.03,3.03,2.90,116,242897,732238.00,
532369,RAMCO INDS. ,B ,Q,167.75,168.15,160.00,161.45,161.45,164.35,177,3529,575207.00,
532370,RAMCO  SYSTM,B ,Q,184.65,190.05,184.65,186.20,186.20,184.95,21,297,55412.00,
532371,TATA TELESER,T ,Q,3.00,3.00,2.84,2.85,2.84,2.98,154,145701,420340.00,
