SC_CODE,SC_NAME,SC_GROUP,SC_TYPE,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,NO_TRADES,NO_OF_SHRS,NET_TURNOV,TDCLOINDI
500002,ABB LTD.    ,A ,Q,1372.15,1399.85,1372.15,1382.40,1375.40,1381.30,217,1562,2164484.00,
500003,AEGIS LOGIS ,A ,Q,185.05,199.50,185.05,198.00,198.70,186.10,498,5586,1084551.00,
500008,AMAR RAJA BA,A ,Q,642.85,666.50,642.85,646.35,646.35,646.15,482,14820,9683504.00,
500009,A.SARABHAI  ,X ,Q,11.55,11.63,11.06,11.38,11.39,11.42,28,5625,64380.00,
500010,HDFC        ,A ,Q,2147.00,2216.40,2136.60,2189.60,2186.00,2153.10,3562,261570,567154145.00,
500012,ANDHRA PETRO,X ,Q,42.00,43.45,40.25,42.05,42.05,42.05,192,23503,995601.00,
500013,ANSAL INFRAS,B ,Q,4.05,4.20,3.91,4.03,4.10,4.00,122,16156,65859.00,
500014,APPLE FINANC,XT,Q,1.33,1.33,1.33,1.33,1.33,1.33,4,544,723.00,
500020,BOM DYEING  ,A ,Q,71.90,74.75,71.00,72.80,72.35,69.75,4566,421634,30771151.00,
500023,ASIANHOTNR  ,B ,Q,87.60,94.45,87.60,91.35,91.10,88.50,17,129,11475.00,
500024,ASSAMCO     ,T ,Q,1.01,1.06,0.98,0.99,0.99,1.02,44,159828,159656.00,
500027,ATUL LTD.   ,A ,Q,3535.00,3669.95,3535.00,3638.30,3638.30,3591.25,138,485,1764544.00,
500028,ATV PROJECTS,XT,Q,3.72,3.90,3.72,3.80,3.80,3.72,24,1536,5921.00,
500029,AUTOLITE(I) ,B ,Q,22.80,24.90,22.80,23.05,23.00,23.95,8,964,22538.00,
500031,BAJAJ ELECT.,A ,Q,356.00,378.45,355.00,364.20,362.55,366.45,466,5894,2172877.00,
500032,BAJAJHIND   ,B ,Q,5.75,6.18,5.70,6.14,6.14,5.83,176,137227,826610.00,
500033,FORCE MOTR  ,A ,Q,1035.00,1069.00,1035.00,1047.90,1044.90,1045.85,717,7643,8070051.00,
500034,BAJFINANCE  ,A ,Q,3152.00,3287.85,3152.00,3268.40,3268.40,3160.75,6881,95983,310160698.00,
500038,BALRAM.CHINI,A ,Q,127.00,138.40,122.20,135.55,135.55,128.50,1045,72632,9522416.00,
500039,BANCO PROD. ,B ,Q,95.65,99.60,95.65,98.85,99.25,95.10,54,1487,145878.00,
500040,CENTURY TEXT,A ,Q,868.35,893.30,868.20,890.10,890.10,866.40,666,24560,21697501.00,
500041,BANNARI AMAN,B ,Q,1415.00,1415.00,1250.00,1259.45,1258.50,1275.20,23,63,80464.00,
500042,BASF INDIA  ,A ,Q,1058.55,1136.05,1044.35,1062.70,1045.60,1028.80,996,4833,5253187.00,
500043,BATA INDIA  ,A ,Q,1360.00,1414.00,1360.00,1404.80,1407.05,1368.05,2853,96234,133991655.00,
500048,BEML LTD    ,A ,Q,813.90,833.90,812.80,823.75,825.20,811.65,859,31151,25684083.00,
500049,BHARAT ELECT,A ,Q,92.00,97.65,92.00,96.95,96.95,92.45,3413,893511,85260592.00,
500052,BHANSALI ENG,B ,Q,59.95,61.60,58.20,60.15,60.15,60.05,1023,83409,5035050.00,
500055,TATASTLBSL  ,B ,Q,24.40,24.90,24.00,24.45,24.40,24.40,331,140559,3447199.00,
500058,BIHAR SPONGE,XT,Q,0.69,0.69,0.69,0.69,0.69,0.69,1,2,1.00,
500059,BINANI IND. ,T ,Q,13.65,13.65,12.50,13.65,13.65,13.00,25,4553,61386.00,
500060,BIRLACABLE  ,B ,Q,72.15,77.95,71.80,76.75,76.40,73.35,190,8045,610565.00,
500067,BLUE STAR   ,A ,Q,658.00,709.95,658.00,699.40,709.95,658.90,384,1397,960290.00,
500068,DISA INDIA  ,X ,Q,4752.00,4801.00,4752.00,4800.00,4800.00,4800.00,3,6,28754.00,
500069,BNK CAPITAL ,X ,Q,77.25,77.25,69.95,70.00,70.00,73.60,20,1334,93471.00,
500074,BPL LTD.    ,B ,Q,17.10,18.65,17.10,18.45,18.65,17.25,72,7786,139196.00,
500078,OAL         ,B ,Q,172.05,175.40,171.20,172.90,172.50,176.70,12,211,36381.00,
500083,CENTURY EXT ,B ,Q,2.80,2.80,2.80,2.80,2.80,2.80,2,2600,7280.00,
500084,CESC LTD.   ,A ,Q,739.45,760.20,739.20,752.90,753.85,742.50,243,6180,4655042.00,
500085,CHAMBAL FERT,A ,Q,150.00,150.00,140.50,144.20,144.20,142.15,328,14500,2078338.00,
500086,EXIDE IND.  ,A ,Q,180.00,182.70,177.40,179.15,179.15,179.30,1609,57167,10251025.00,
500087,CIPLA LTD.  ,A ,Q,519.00,526.50,497.10,500.20,500.20,518.90,2155,127370,64505347.00,
500089,DIC INDIA   ,B ,Q,301.00,304.50,301.00,304.50,304.50,297.05,12,281,85438.00,
500092,CRISIL LTD  ,A ,Q,1249.00,1249.00,1167.30,1175.95,1175.95,1181.20,472,3302,3892178.00,
500093,CGPOWER     ,A ,Q,17.70,18.55,17.60,18.20,18.15,17.65,349,201760,3652692.00,
500096,DABUR (I)   ,A ,Q,427.80,439.25,426.00,433.30,431.85,429.70,2459,166248,71871686.00,
500097,DALMIASUG   ,B ,Q,81.80,84.65,81.80,83.75,83.75,81.35,202,9178,766735.00,
500101,ARVIND Ltd  ,A ,Q,54.50,55.90,52.50,53.75,53.75,55.75,1746,488613,26479417.00,
500102,BALARPUR IND,B ,Q,0.67,0.67,0.67,0.67,0.67,0.70,19,92350,61874.00,
500103,BHEL        ,A ,Q,56.50,57.60,56.20,57.25,57.25,56.50,1944,1129101,64162772.00,
500104,HIND.PETRO  ,A ,Q,256.80,258.95,251.70,253.75,253.75,255.55,1423,131403,33512330.00,
500106,IFCI LTD    ,A ,Q,7.10,7.95,6.97,7.69,7.69,7.10,327,197267,1477867.00,
500108,MAHA.TELE   ,B ,Q,5.99,6.08,5.80,6.02,6.05,5.95,218,153325,918391.00,
500109,MRPL        ,A ,Q,51.10,52.00,50.00,51.60,51.65,51.35,393,59507,3049683.00,
500110,CHENNAI PET.,A ,Q,192.45,193.85,192.00,192.65,192.00,191.45,163,4783,921658.00,
500111,REL.CAP.    ,A ,Q,48.10,51.40,47.65,50.65,50.65,48.10,4361,1248988,62486731.00,
500112,STATE BANK  ,A ,Q,298.70,304.35,297.50,301.25,301.25,300.25,9808,1702032,512407465.00,
500113,STEEL AUTH. ,A ,Q,39.25,41.00,39.25,40.55,40.55,39.90,1179,679285,27398972.00,
500114,TITAN       ,A ,Q,1029.70,1070.00,1022.75,1038.05,1038.05,1036.80,7322,542776,563623095.00,
500116,IDBI BANK L ,A ,Q,28.35,28.65,27.95,28.20,28.20,28.10,446,291095,8240067.00,
500117,DCW LTD.    ,B ,Q,14.45,15.35,14.45,15.30,15.35,14.40,50,11838,178619.00,
500119,DHAMPUR SUGA,B ,Q,150.00,160.25,149.85,158.05,158.05,150.45,732,41559,6498663.00,
500120,DIAMINES&CHM,X ,Q,106.80,115.50,105.30,112.55,115.00,105.00,52,3323,368239.00,
500123,ELANTAS     ,B ,Q,1944.90,1974.00,1900.00,1920.80,1929.00,1904.00,55,368,705896.00,
500124,DR.REDDY'S  ,A ,Q,2490.00,2584.00,2490.00,2556.30,2555.50,2512.80,1767,22374,57237351.00,
500125,E.I.D.PAR   ,A ,Q,141.00,146.70,141.00,144.90,144.35,142.50,227,7548,1083811.00,
500126,PGHL        ,A ,Q,4703.95,4754.20,4663.05,4711.15,4728.85,4714.75,377,1227,5772018.00,
500128,ELEC.CASTING,B ,Q,14.70,15.29,14.45,15.29,15.29,14.41,34,4808,71343.00,
500133,ESAB INDIA  ,B ,Q,1078.70,1078.70,1061.00,1075.00,1075.00,1049.65,15,45,48070.00,
500135,ESSEL PROP  ,B ,Q,125.20,130.55,124.45,130.10,130.05,127.25,3950,6493963,814600414.00,
500136,ESTER INDUS.,B ,Q,25.65,25.70,24.85,25.40,25.35,24.35,39,3640,92969.00,
500141,FERRO ALLOYS,X ,Q,3.07,3.38,2.91,3.07,2.97,2.91,64,16853,52455.00,
500144,FINOL. CABLE,A ,Q,370.00,373.75,368.90,371.00,370.60,370.10,39,582,216378.00,
500147,CMI FPE     ,X ,Q,777.00,838.95,767.00,828.15,803.55,780.80,119,1510,1190726.00,
500148,UFLEX LTD   ,A ,Q,207.55,230.00,195.00,225.45,228.90,210.80,1245,27668,6115109.00,
500150,FOSECO INDIA,B ,Q,1185.00,1192.85,1180.00,1192.85,1192.85,1197.65,5,39,46215.00,
500151,GOLDEN TOB  ,B ,Q,24.70,25.35,23.80,25.35,25.35,24.15,25,1084,27144.00,
500153,GANESH BENZO,X ,Q,26.50,27.90,26.50,27.15,26.75,26.70,104,15226,410201.00,
500155,GARDEN SILK ,B ,Q,10.50,10.50,10.31,10.42,10.31,11.00,5,614,6408.00,
500159,METROGLOBL  ,X ,Q,49.00,51.00,49.00,50.80,51.00,51.00,2,11,559.00,
500160,GTL LTD.    ,B ,Q,2.36,2.36,2.32,2.33,2.32,2.25,2,50,116.00,
500163,GODFREY PH  ,A ,Q,695.00,708.00,684.45,688.75,688.75,694.25,926,38287,26729353.00,
500164,GODREJ IND  ,A ,Q,434.55,454.20,433.00,447.45,447.85,434.50,1620,56094,25117457.00,
500165,KANSAI NERO ,A ,Q,431.00,449.50,427.35,445.75,445.75,430.25,635,11870,5254797.00,
500166,GOODRICKE   ,X ,Q,158.00,159.90,155.00,155.40,155.40,157.50,36,1902,297615.00,
500168,GOODYEAR (I),B ,Q,811.05,849.00,803.10,834.05,847.95,811.10,79,680,558747.00,
500170,GTN INDUS   ,B ,Q,6.67,6.67,6.67,6.67,6.67,6.45,1,28,186.00,
500171,GHCL LTD    ,A ,Q,198.30,204.50,198.00,203.90,203.00,199.35,161,8124,1642136.00,
500173,GFLLIMITED  ,T ,Q,140.00,140.00,133.00,133.00,133.00,879.50,71,1766,234962.00,
500179,HCL INFOSYS ,B ,Q,9.89,10.56,9.60,9.89,9.89,9.52,415,119815,1203256.00,
500180,HDFC BANK   ,A ,Q,2168.70,2209.00,2160.00,2188.70,2188.70,2179.40,5315,104654,229038923.00,
500182,HEROMOTOCO  ,A ,Q,2400.00,2484.00,2372.65,2465.00,2465.00,2400.25,3116,40625,99218259.00,
500183,HIMACHAL FUT,A ,Q,18.80,19.20,18.80,19.00,19.00,18.70,234,151350,2878888.00,
500184,HSCL        ,A ,Q,65.00,75.75,64.85,74.05,74.05,65.85,1211,105742,7602774.00,
500185,HIND.CONSTN.,A ,Q,8.20,8.46,8.00,8.29,8.29,8.01,355,144223,1195128.00,
500186,HIND.OIL EXP,B ,Q,108.65,108.65,102.00,102.55,102.00,111.90,878,54491,5709575.00,
500187,HSIL        ,B ,Q,214.40,224.80,214.40,219.85,220.55,213.10,775,8622,1907524.00,
500188,HINDUS.ZI   ,A ,Q,202.80,208.90,201.60,205.30,205.05,203.10,460,33111,6833465.00,
500189,HINDUJA VENT,B ,Q,293.50,296.00,290.00,293.25,293.00,291.50,15,181,52791.00,
500191,HMT LTD.    ,Z ,Q,12.50,12.86,12.50,12.86,12.86,12.25,22,4975,63718.00,
500193,HOTEL LEELA.,B ,Q,8.15,8.15,7.40,7.53,7.43,7.28,27,6583,48903.00,
500199,I.G.PETRO   ,B ,Q,202.00,202.00,200.15,200.40,200.40,201.80,39,1671,336355.00,
500201,IND.GLYCOLS ,B ,Q,198.15,205.00,198.00,201.55,201.55,199.55,193,5201,1048223.00,
500207,INDO RAMA   ,B ,Q,31.00,32.00,30.00,30.50,30.50,30.45,14,1180,36286.00,
500209,INFOSYS LTD ,A ,Q,778.00,783.90,770.00,774.65,774.65,776.75,14443,852181,659305551.00,
500210,INGERSOLL   ,B ,Q,589.00,597.50,586.00,592.80,595.10,586.55,268,898,533856.00,
500211,INSILCO LTD.,X ,Q,14.85,15.00,14.25,14.50,14.50,14.68,18,5485,78319.00,
500213,INTER.TRAVEL,X ,Q,73.80,73.80,70.00,73.40,73.40,67.30,32,1189,86302.00,
500214,ION EXCHANGE,X ,Q,655.00,684.00,648.00,664.30,664.30,663.95,701,42956,28519608.00,
500215,AGRO TECH FO,B ,Q,499.00,500.75,495.30,500.00,500.00,502.75,37,280,139272.00,
500219,JAIN IRRIG  ,A ,Q,19.40,20.00,19.05,19.90,19.90,19.50,382,132176,2611988.00,
500220,JASCH INDUST,X ,Q,43.20,44.00,41.00,42.80,42.20,41.25,18,1788,77579.00,
500223,JCT LTD     ,X ,Q,1.04,1.04,0.98,1.03,1.00,0.99,48,63986,64807.00,
500227,JINDAL POLYF,B ,Q,227.80,232.35,225.50,229.60,228.80,223.45,98,1086,248151.00,
500228,JSWSL       ,A ,Q,206.40,221.60,206.40,217.70,216.15,217.70,1716,227859,49834254.00,
500231,UMANG DAIR  ,B ,Q,46.00,46.00,45.75,45.95,46.00,44.25,3,10,459.00,
500233,KAJARIA CER.,A ,Q,456.40,471.90,455.00,469.70,471.75,457.10,1771,39017,18112335.00,
500234,KAKATIYA CEM,B ,Q,155.00,157.00,152.75,155.35,153.50,151.65,79,1341,207997.00,
500235,KALYANI STEL,B ,Q,166.85,172.00,166.65,170.00,170.05,166.05,273,16490,2804605.00,
500238,WHIRLPOOL   ,A ,Q,1486.55,1550.00,1486.55,1539.75,1542.20,1493.35,697,15117,22743420.00,
500239,KG DENIM    ,X ,Q,32.55,34.95,32.55,34.25,34.25,32.60,17,1429,47977.00,
500240,KINETIC ENG.,XT,Q,42.80,44.00,42.00,42.85,42.00,42.70,26,6118,265794.00,
500241,KIRL.BROS.  ,B ,Q,164.90,164.90,152.90,157.30,156.05,162.80,129,2298,363716.00,
500243,KIRL INDUS  ,B ,Q,669.95,671.00,640.00,671.00,671.00,649.30,11,43,28245.00,
500245,KIRL.FERROUS,B ,Q,66.45,66.45,61.50,64.85,65.00,61.20,741,43905,2793078.00,
500246,ENVAIN ELECT,XT,Q,26.20,26.20,26.20,26.20,26.20,26.20,1,10,262.00,
500247,KOTAK MAH.BK,A ,Q,1455.00,1493.75,1450.10,1484.90,1484.00,1460.35,3577,100994,148228794.00,
500249,KSB         ,B ,Q,586.00,586.00,550.00,566.30,566.00,555.85,48,172,97194.00,
500250,L.G.BALKRISH,B ,Q,264.95,264.95,247.10,260.65,262.90,249.20,127,1484,378499.00,
500251,TRENT LTD.  ,A ,Q,445.00,452.45,442.20,443.65,443.20,444.15,405,7365,3297167.00,
500252,LAXMIMACH   ,A ,Q,3888.75,3962.00,3870.00,3944.00,3950.00,3909.60,211,4941,19360127.00,
500253,LIC HOUS.FIN,A ,Q,490.00,495.00,482.10,484.40,484.40,496.10,1989,101930,49624674.00,
500254,UTTAMVALUE  ,T ,Q,0.19,0.19,0.19,0.19,0.19,0.19,4,882,167.00,
500257,LUPIN LTD.  ,A ,Q,751.00,770.95,743.00,750.90,750.90,756.50,1798,69282,52320668.00,
500259,LYKA LABS   ,B ,Q,16.00,16.80,16.00,16.65,16.25,16.00,16,2341,38327.00,
500260,RAMCOCEM    ,A ,Q,708.00,740.70,708.00,736.35,733.40,711.00,469,6562,4801504.00,
500264,MAFATLAL IND,X ,Q,72.10,80.00,72.10,80.00,80.00,70.15,15,1319,103796.00,
500265,MAH.SEAMLESS,B ,Q,406.90,406.90,403.40,405.75,403.40,402.95,24,255,103399.00,
500266,MAH.SCOOTER ,B ,Q,3801.00,3849.95,3740.00,3788.80,3788.80,3715.80,70,197,748166.00,
500267,MAJESTIC AUT,X ,Q,135.55,138.85,131.25,136.95,136.20,129.70,121,3750,502469.00,
500268,MANALI PETRO,B ,Q,18.10,21.00,18.10,18.95,18.90,18.15,174,33620,646198.00,
500271,MFSL        ,A ,Q,401.80,432.90,401.80,411.90,411.00,403.90,2682,184125,76576767.00,
500279,MIRC ELECT  ,B ,Q,12.05,12.55,11.98,12.24,12.39,11.83,48,5435,66506.00,
500280,CENTURY ENKA,B ,Q,176.85,180.90,176.85,180.40,180.45,177.90,77,1535,276074.00,
500284,LORDS CHLORO,XT,Q,34.65,36.45,34.65,34.65,34.65,36.45,9,386,13466.00,
500285,SPICEJET LTD,A ,Q,124.90,132.90,124.00,132.25,132.25,125.45,10251,1234615,160344257.00,
500288,MOREPEN LAB.,B ,Q,15.50,18.10,15.50,17.35,17.35,15.50,504,185440,3195409.00,
500290,MRF LTD.    ,A ,Q,53325.00,54000.00,53049.55,53851.30,53900.00,53310.60,108,138,7421619.00,
500292,HEIDEL CEM  ,A ,Q,185.35,187.50,183.60,186.90,186.50,184.30,234,8157,1519654.00,
500294,NCC         ,A ,Q,72.05,76.70,71.90,76.10,76.10,71.95,1680,417736,31304039.00,
500295,VEDL        ,A ,Q,137.20,143.85,137.20,140.90,140.00,140.70,3907,997866,141501932.00,
500296,NAHAR SPG.  ,B ,Q,56.35,58.15,54.55,57.75,58.15,54.25,24,1217,69784.00,
500298,NAT.PEROXIDE,B ,Q,1332.05,1420.00,1332.05,1390.30,1390.00,1366.55,910,7301,10107480.00,
500300,GRASIM IND. ,A ,Q,755.00,769.80,744.35,761.55,758.00,749.05,1448,46765,35587640.00,
500302,PEL         ,A ,Q,1729.00,1749.50,1711.50,1718.70,1719.00,1727.90,2379,55086,95377381.00,
500304,NIIT LTD.   ,B ,Q,94.50,99.30,93.85,98.85,98.85,94.20,826,64200,6230205.00,
500306,JAYKAY      ,X ,Q,5.00,5.00,5.00,5.00,5.00,4.60,4,45,225.00,
500307,NIRLON      ,B ,Q,201.00,201.00,196.20,198.30,196.20,200.00,26,2405,476656.00,
500312,ONGC CORPN  ,A ,Q,131.25,132.50,129.50,131.45,131.45,131.25,1327,210029,27498046.00,
500314,ORIENT HOTEL,B ,Q,33.30,34.75,32.65,33.90,33.85,33.25,60,3554,116557.00,
500315,ORINTAL BANK,A ,Q,64.00,67.15,64.00,66.30,66.30,64.15,672,109022,7096036.00,
500317,OSWAL AGRO. ,B ,Q,7.29,7.44,6.76,7.18,7.34,6.95,101,4261,30730.00,
500319,INDIAN SUCRO,XT,Q,10.65,11.60,10.50,10.55,10.55,11.05,8,1568,16795.00,
500325,RELIANCE    ,A ,Q,1136.80,1149.90,1121.95,1128.00,1128.00,1143.00,14572,433717,492896614.00,
500327,PILITA      ,B ,Q,8.60,8.85,8.30,8.56,8.63,8.72,91,65169,551736.00,
500329,PENTAMED.G  ,X ,Q,0.24,0.25,0.23,0.23,0.23,0.24,24,20401,4798.00,
500330,RAYMOND     ,A ,Q,626.45,636.25,624.75,634.10,633.10,621.75,381,16022,10109994.00,
500331,PIDILITE    ,A ,Q,1262.00,1324.30,1262.00,1307.70,1307.70,1272.30,5040,130518,169826611.00,
500333,PIX TRANS   ,X ,Q,134.50,141.85,134.50,140.60,141.85,135.85,54,2355,324037.00,
500335,BIRLA CORPN.,A ,Q,589.00,592.20,573.80,587.25,574.70,588.05,228,2994,1761407.00,
500336,SURYA ROSHNI,B ,Q,174.55,176.05,165.65,172.05,172.05,174.85,559,14813,2527387.00,
500337,PRIME SECUR.,B ,Q,36.50,37.80,36.50,37.35,37.35,36.25,47,16034,597930.00,
500338,PRSMJOHNSN  ,A ,Q,85.00,88.25,85.00,86.05,85.65,85.35,488,21676,1881677.00,
500339,RAIN        ,A ,Q,84.00,86.00,83.60,85.15,85.35,83.20,438,36837,3131564.00,
500343,AMJLAND     ,B ,Q,16.65,16.65,16.65,16.65,16.65,16.10,1,25,416.00,
500346,PUN.COMMUNI.,B ,Q,14.00,14.00,13.15,13.75,13.15,14.20,3,121,1676.00,
500350,RSWM  LTD   ,B ,Q,118.00,124.20,118.00,121.80,121.45,116.75,41,1519,180924.00,
500354,RAJSH.SUGAR ,T ,Q,18.65,18.65,18.60,18.60,18.60,19.55,9,3064,56995.00,
500355,RALLIS INDIA,A ,Q,156.10,158.60,155.00,156.20,155.50,155.65,227,1877,293293.00,
500356,RAMANEWS    ,B ,Q,15.65,15.70,15.10,15.10,15.10,15.10,7,551,8612.00,
500357,RAMA PAPER  ,X ,Q,17.90,18.10,16.00,17.00,16.80,17.90,13,3110,55916.00,
500360,RAPICUT CARB,X ,Q,40.00,40.50,40.00,40.50,40.50,40.00,13,1616,64642.00,
500365,RMGALLOY    ,X ,Q,10.90,10.90,10.35,10.35,10.35,10.89,22,15763,165016.00,
500366,ROLTA (I)   ,B ,Q,4.32,4.52,4.32,4.52,4.52,4.31,53,40838,182428.00,
500367,RUBFILA INT.,X ,Q,33.65,34.45,31.25,32.15,32.15,33.70,48,3576,116451.00,
500368,RUCHI SOYA  ,B ,Q,5.55,5.56,5.36,5.56,5.56,5.30,202,733435,4064872.00,
500378,JINDAL SAW  ,A ,Q,63.80,65.55,63.80,64.85,64.85,63.80,334,36134,2338749.00,
500380,JK LAKSHMI  ,A ,Q,341.50,343.75,336.10,338.75,338.75,336.25,172,2874,978811.00,
500387,SHREE CEMENT,A ,Q,20008.25,20417.80,19990.25,20219.00,20190.05,19988.70,141,409,8286405.00,
500390,REL INFRA   ,A ,Q,48.25,50.90,47.80,50.25,50.25,48.45,5337,2482036,122832175.00,
500399,STEELCO GUJ.,XT,Q,2.45,2.45,2.45,2.45,2.45,2.50,4,1350,3307.00,
500400,TATA POWER  ,A ,Q,57.95,59.95,57.95,59.30,59.30,57.95,1188,240102,14223735.00,
500402,SPMLINFRA   ,B ,Q,11.69,12.00,11.69,11.90,11.90,11.49,5,367,4371.00,
500403,SUNDARAM FAS,A ,Q,426.60,438.90,422.15,425.15,425.95,423.15,133,1924,822317.00,
500404,SUNFLAG IRON,B ,Q,25.60,27.50,25.60,26.65,26.50,26.55,117,19067,507111.00,
500405,SUPREME PET ,B ,Q,175.30,185.30,175.30,184.55,180.90,173.70,78,1431,258882.00,
500407,SWARAJ ENGIN,B ,Q,1045.25,1094.65,1045.25,1060.00,1060.00,1065.00,22,219,233681.00,
500408,TATA ELXSI  ,A ,Q,602.60,629.90,602.60,626.40,626.40,604.35,1979,70790,43968483.00,
500410,ACC LTD     ,A ,Q,1513.00,1558.30,1504.45,1548.00,1545.70,1515.20,1431,24549,37670574.00,
500411,THERMAX     ,A ,Q,1025.00,1069.00,1025.00,1062.65,1065.20,1031.30,213,960,1007978.00,
500412,THIRUMALAI  ,B ,Q,60.00,61.10,59.00,60.50,60.15,60.00,344,22789,1371779.00,
500413,THOMAS COOK ,A ,Q,171.00,180.40,171.00,179.25,179.25,173.35,200,3195,564024.00,
500414,TIMEX GROUP ,X ,Q,34.10,39.45,34.10,36.30,36.00,34.30,142,22705,836600.00,
500418,TOKYO PLAST ,B ,Q,50.10,50.10,49.05,49.05,49.05,50.80,2,300,14724.00,
500420,TORRENT PHAR,A ,Q,1668.20,1678.00,1655.00,1674.25,1670.50,1669.55,556,36820,61401795.00,
500422,TRANSCHEM   ,X ,Q,14.90,15.95,14.15,15.95,15.95,15.25,13,227,3290.00,
500425,AMBUJA CEME ,A ,Q,199.70,203.20,195.25,201.75,201.75,197.35,1309,112684,22682469.00,
500429,UNIPHOS ENT.,B ,Q,72.30,76.85,70.70,71.30,71.30,69.70,41,1372,100459.00,
500439,VARD HOLDNG ,B ,Q,1385.00,1404.00,1340.00,1345.35,1340.00,1355.00,15,28,38519.00,
500440,HINDALCO    ,A ,Q,172.70,182.50,172.60,180.70,180.45,175.95,2169,416479,74440202.00,
500444,WEST COAS PA,B ,Q,214.10,222.40,214.10,219.20,217.45,211.70,124,2839,622112.00,
500449,HIND.ORG.CHM,B ,Q,15.35,15.75,15.25,15.60,15.70,15.10,141,33106,512702.00,
500456,PAS.ACRYLON ,X ,Q,13.90,14.55,13.90,14.39,14.40,13.99,52,20064,288041.00,
500459,PROCTER &GAM,A ,Q,10509.90,10509.90,10400.00,10507.35,10507.50,10476.85,24,41,429446.00,
500460,MUKAND LTD. ,B ,Q,31.60,35.65,31.55,34.70,34.70,31.85,160,13389,452594.00,
500463,AGCNET      ,B ,Q,78.85,79.00,78.85,79.00,79.00,78.00,2,51,4028.00,
500464,UCAL FUEL   ,B ,Q,114.00,116.55,114.00,114.35,114.30,112.90,96,1945,223350.00,
500467,HARR.MALAYAL,B ,Q,48.50,51.55,48.15,50.50,50.50,47.80,221,10350,519716.00,
500469,FEDERAL BANK,A ,Q,88.00,88.85,87.00,88.15,88.35,87.45,1740,664880,58555351.00,
500470,TATA STEEL  ,A ,Q,393.75,407.90,393.65,400.85,400.85,399.10,11142,714068,287434844.00,
500472,SKF INDIA   ,A ,Q,1817.55,1885.65,1758.00,1865.75,1852.80,1834.55,71,204,378931.00,
500477,ASHOK LEYL. ,A ,Q,63.60,65.20,62.70,63.50,63.50,64.05,4819,1509132,96160349.00,
500480,CUMMINS (I) ,A ,Q,667.75,686.00,665.05,673.15,673.00,669.60,616,11419,7717222.00,
500483,TATA COMM   ,A ,Q,469.15,472.70,458.10,460.85,460.85,464.80,1400,36504,17016049.00,
500488,ABBOTT (I)  ,A ,Q,8400.00,8477.50,8399.85,8435.65,8449.95,8379.45,60,237,2000979.00,
500490,BAJ HOLD INV,A ,Q,3363.35,3487.50,3363.35,3450.60,3437.15,3465.95,135,437,1508646.00,
500493,BHARAT FORGE,A ,Q,408.90,421.80,398.40,417.85,414.25,419.10,1450,69279,28449389.00,
500495,ESCORTS LTD.,A ,Q,451.00,480.00,451.00,475.70,475.00,459.10,2192,178614,83979950.00,
500500,HIND.MOTORS ,B ,Q,5.05,6.01,5.04,5.93,6.01,5.06,56,26962,151526.00,
500510,LARSEN & TOU,A ,Q,1347.00,1399.00,1342.05,1379.20,1379.20,1345.70,8280,187049,257698267.00,
500520,MAH & MAH   ,A ,Q,547.00,552.00,544.15,549.30,549.30,546.15,1893,64558,35413500.00,
500530,BOSCH LTD   ,A ,Q,14290.00,14568.00,14203.85,14500.70,14490.00,14295.95,115,212,3072704.00,
500547,BHARAT PET. ,A ,Q,340.20,347.00,337.00,345.15,342.85,339.25,898,74651,25601851.00,
500550,SIEMENS LTD.,A ,Q,1114.35,1140.90,1107.55,1131.60,1129.00,1106.60,547,12620,14249265.00,
500570,TATA MOTORS ,A ,Q,122.35,126.50,121.85,122.55,122.55,123.75,11121,2524258,313593182.00,
500575,VOLTAS LTD  ,A ,Q,599.00,621.00,599.00,617.80,615.30,601.20,1413,71902,44048615.00,
500620,GREAT EASTE ,A ,Q,215.15,231.05,212.20,225.55,229.00,216.20,439,4353,948030.00,
500645,DEEPAK FERT.,A ,Q,82.90,83.55,80.00,82.05,82.05,82.70,1318,49417,4034363.00,
500650,EXCEL INDUST,B ,Q,812.10,816.70,799.50,803.70,799.50,806.15,72,586,473949.00,
500655,GARWARE POLY,X ,Q,201.00,213.50,198.00,208.70,209.00,201.80,94,8047,1662262.00,
500660,GLAXOSMITH  ,A ,Q,1199.75,1210.00,1170.35,1208.80,1210.00,1198.75,420,1434,1717082.00,
500670,GUJ.NARMADA ,A ,Q,198.30,202.70,196.70,200.45,200.45,199.55,401,17328,3473615.00,
500672,NOVARTIS    ,B ,Q,611.00,630.00,611.00,626.45,625.00,612.60,345,12809,8004764.00,
500674,SANOFI      ,A ,Q,5908.00,6037.85,5908.00,6009.70,5983.40,5998.75,172,434,2606957.00,
500676,GLAXOSMITHKL,A ,Q,7480.00,7550.00,7427.50,7502.20,7487.75,7449.25,126,281,2104009.00,
500680,PFIZER LTD. ,A ,Q,2979.60,2991.55,2938.00,2954.20,2954.20,2953.75,294,7425,22057143.00,
500690,GUJ.ST.FERT ,A ,Q,77.00,78.65,75.90,76.90,76.90,77.40,965,126965,9868898.00,
500696,HIND UNI LT ,A ,Q,1735.00,1759.50,1729.00,1744.90,1744.90,1740.75,2309,51706,90393846.00,
500710,AKZOINDIA   ,A ,Q,1660.05,1718.50,1660.00,1717.95,1716.00,1668.30,42,206,351738.00,
